scientificName,decimalLatitude,decimalLongitude,eventDate,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,basisOfRecord,sst_mean,salinity_mean
Costaria costata,42.3,140.95,1953-07-28,,,,PreservedSpecimen,11.633231854472223,32.717154876014405
Undaria pinnatifida f. pinnatifida,39.85,139.8,1983-05-22,,,,PreservedSpecimen,16.91320504343314,33.30222623074708
Undaria pinnatifida f. pinnatifida,39.88,139.85,1962-05-30,,,,PreservedSpecimen,16.76446117532722,33.30689690192599
Undaria pinnatifida f. pinnatifida,38.42,141.47,1924-03-28,,,,PreservedSpecimen,14.676884579934088,33.476416710370266
Undaria pinnatifida f. pinnatifida,41.42,140.08,1967-04-26,,,,PreservedSpecimen,,
Costaria costata,42.48,140.8,1972-05-03,,,,PreservedSpecimen,11.530276035859615,32.707568407869275
Undaria pinnatifida f. pinnatifida,42.48,140.8,1972-05-03,,,,PreservedSpecimen,11.530276035859615,32.707568407869275
Costaria costata,43.37,145.8,1929-08-03,,,,PreservedSpecimen,7.764268644476999,32.25890120749487
Undaria pinnatifida f. pinnatifida,42.5,140.78,1957-06-13,,,,PreservedSpecimen,,
Costaria costata,43.02,145.03,1973-03-23,,,,PreservedSpecimen,,
Costaria costata,43.03,145.05,1972-04-17,,,,PreservedSpecimen,7.888729702931131,32.39630157399606
Saccharina japonica var. religiosa,43.18,141.03,1957-11-27,,,,PreservedSpecimen,,
Costaria costata,42.8,140.22,1950-06-16,,,,PreservedSpecimen,,
Saccharina japonica var. religiosa,42.8,140.22,1950-03-25,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,42.8,140.22,1950-06-16,,,,PreservedSpecimen,,
Costaria costata,40.37,141.75,1966-01-22,,,,PreservedSpecimen,14.284285333709823,33.80015598374112
Undaria pinnatifida f. pinnatifida,40.37,141.75,1966-06-07,,,,PreservedSpecimen,14.284285333709823,33.80015598374112
Saccharina japonica var. religiosa,43.2,140.85,1983-08-02,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Saccharina japonica var. religiosa,39.0,141.65,1980-10-01,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,43.2,140.85,1931-06-23,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Costaria costata,42.93,144.62,1993-07-20,,,,PreservedSpecimen,8.095671646025922,32.40534934725526
Costaria costata,42.92,144.43,1993-08-16,,,,PreservedSpecimen,8.181282799561902,32.40018584110001
Saccharina coriacea,42.92,144.43,1993-11-16,,,,PreservedSpecimen,8.181282799561902,32.40018584110001
Saccharina coriacea,42.98,144.35,1993-10-18,,,,PreservedSpecimen,,
Costaria costata,43.2,140.85,1995-05-09,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Undaria pinnatifida f. pinnatifida,43.2,140.85,1995-04-12,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Saccharina japonica var. religiosa,43.2,140.85,1995-12-20,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Saccharina japonica var. japonica,43.2,140.85,1995-04-12,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Costaria costata,43.2,140.85,1971-07-14,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Saccharina japonica var. japonica,38.32,141.02,1994-04-13,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,43.2,140.88,1996-06-27,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Costaria costata,43.2,140.88,1996-05-14,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Saccharina japonica var. religiosa,43.2,140.88,1996-06-27,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Saccharina japonica var. religiosa,41.35,139.8,1987-05-19,,,,PreservedSpecimen,15.14142375179746,33.85162521454273
Saccharina japonica var. religiosa,41.35,139.8,1987-05-19,,,,PreservedSpecimen,15.14142375179746,33.85162521454273
Undaria pinnatifida f. pinnatifida,43.07,140.47,1997-04-16,,,,PreservedSpecimen,12.75092536633121,33.83990548780739
Costaria costata,43.07,140.47,1997-04-16,,,,PreservedSpecimen,12.75092536633121,33.83990548780739
Saccharina japonica var. religiosa,43.07,140.47,1997-04-16,,,,PreservedSpecimen,12.75092536633121,33.83990548780739
Saccharina angustata,42.32,141.02,1966-07-24,,,,PreservedSpecimen,11.523034761608201,32.748703923274846
Saccharina angustata,42.3,140.98,1966-08-18,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Undaria pinnatifida f. pinnatifida,42.33,140.92,1967-03-29,,,,PreservedSpecimen,11.416941834566792,32.724107162345305
Undaria pinnatifida f. pinnatifida,42.3,140.97,1966-08-17,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Costaria costata,42.32,140.93,1966-05-21,,,,PreservedSpecimen,11.416941834566792,32.724107162345305
Costaria costata,42.3,140.98,1966-05-22,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Undaria pinnatifida f. pinnatifida,38.53,141.52,1957-02-13,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,38.38,141.58,1973-07-25,,,,PreservedSpecimen,14.659569586918053,33.68408640998391
Undaria pinnatifida f. pinnatifida,38.32,141.02,1964-01-16,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,38.33,141.17,1964-02-19,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,38.33,141.08,1964-02-19,,,,PreservedSpecimen,14.931231636997328,32.91731673546544
Costaria costata,41.93,143.22,1975-07-25,,,,PreservedSpecimen,9.318203531044967,32.51204879126048
Costaria costata,42.12,142.92,1975-07-24,,,,PreservedSpecimen,,
Costaria costata,43.2,140.88,1972-05-05,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Costaria costata,44.03,145.22,1970-01-16,,,,PreservedSpecimen,7.6409541980125155,32.42430760432361
Costaria costata,44.03,145.22,1970-01-16,,,,PreservedSpecimen,7.6409541980125155,32.42430760432361
Costaria costata,44.25,145.35,1968-05-16,,,,PreservedSpecimen,7.515200905497618,32.44604675388308
Costaria costata,44.15,145.28,1968-05-13,,,,PreservedSpecimen,,
Costaria costata,44.17,145.3,1968-05-14,,,,PreservedSpecimen,7.4921602909859795,32.443716539873144
Costaria costata,44.33,145.33,1968-05-17,,,,PreservedSpecimen,,
Costaria costata,44.15,145.28,1968-07-10,,,,PreservedSpecimen,,
Costaria costata,44.15,145.28,1968-05-13,,,,PreservedSpecimen,,
Costaria costata,44.05,144.97,1969-06-27,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,40.63,139.9,1978-06-21,,,,PreservedSpecimen,16.6267270682333,33.49334996420239
Undaria pinnatifida f. pinnatifida,41.38,140.18,1978-04-25,,,,PreservedSpecimen,15.301438173950489,33.81085877539994
Costaria costata,41.38,140.18,1978-04-25,,,,PreservedSpecimen,15.301438173950489,33.81085877539994
Costaria costata,45.28,141.6,1978-05-19,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,38.38,141.58,1974-07-31,,,,PreservedSpecimen,14.659569586918053,33.68408640998391
Costaria costata,42.8,140.22,1972-03-27,,,,PreservedSpecimen,,
Eisenia bicyclis,36.95,140.93,1981-07-13,,,,PreservedSpecimen,,
Costaria costata,43.2,140.88,1972-05-05,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Undaria pinnatifida f. pinnatifida,40.52,141.58,1966-06-20,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,41.7,140.97,1958-07-02,,,,PreservedSpecimen,,
Saccharina angustata,42.27,142.48,1954-08-17,,,,PreservedSpecimen,10.70282136780551,32.74598598906146
Saccharina angustata,41.93,143.22,1957-07-27,,,,PreservedSpecimen,9.318203531044967,32.51204879126048
